TiNbZrCu_12	
2θ, °	Intensity, counts
30	4487.98
30.02	4608.088
30.04	4429.595
30.06	4433.404
30.08	4425.593
30.1	4578.728
30.12	4461.728
30.14	4429.827
30.16	4472.014
30.18	4522.691
30.2	4279.925
30.22	4539.446
30.24	4444.262
30.26	4378.888
30.28	4341.024
30.3	4468.657
30.32	4445.537
30.34	4348.074
30.36	4387.616
30.38	4418.324
30.4	4414.371
30.42	4359.183
30.44	4317.818
30.46	4310.73
30.48	4301.044
30.5	4419.851
30.52	4405.355
30.54	4338.208
30.56	4290.627
30.58	4355.605
30.6	4294.638
30.62	4342.585
30.64	4195.388
30.66	4262.507
30.68	4248.686
30.7	4366.751
30.72	4351.195
30.74	4388.023
30.76	4359.537
30.78	4348.33
30.8	4281.041
30.82	4242.151
30.84	4266.615
30.86	4291.607
30.88	4309.315
30.9	4237.792
30.92	4179.126
30.94	4318.477
30.96	4250.098
30.98	4159.781
31	4231.995
31.02	4298.99
31.04	4265.672
31.06	4333.415
31.08	4316.63
31.1	4252.28
31.12	4198.853
31.14	4239.543
31.16	4348.816
31.18	4236.302
31.2	4388.922
31.22	4268.037
31.24	4301.654
31.26	4318.456
31.28	4355.548
31.3	4396.993
31.32	4278.104
31.34	4261.765
31.36	4339.55
31.38	4276.614
31.4	4282.893
31.42	4362.77
31.44	4282.774
31.46	4324.109
31.48	4377.131
31.5	4292.506
31.52	4348.364
31.54	4374.208
31.56	4290.559
31.58	4278.549
31.6	4271.212
31.62	4195.845
31.64	4137.188
31.66	4183.783
31.68	4149.986
31.7	4122.722
31.72	4048.532
31.74	4133.183
31.76	3965.093
31.78	4113.138
31.8	4037.911
31.82	4000.545
31.84	3934.405
31.86	3942.074
31.88	3983.212
31.9	3881.439
31.92	3947.958
31.94	3870.618
31.96	3923.416
31.98	3824.355
32	3963.759
32.02	3974.39
32.04	3882.989
32.06	3773.029
32.08	3934.112
32.1	3895.344
32.12	3893.852
32.14	3913.86
32.16	3859.013
32.18	3862.781
32.2	3940.976
32.22	3958.984
32.24	3909.224
32.26	3903.015
32.28	3723.535
32.3	3818.112
32.32	3728.948
32.34	3740.275
32.36	3690.245
32.38	3813.122
32.4	3845.927
32.42	3834.056
32.44	3804.229
32.46	3737.898
32.48	3710.507
32.5	3659.814
32.52	3680.141
32.54	3726.357
32.56	3720.203
32.58	3656.049
32.6	3701.026
32.62	3730.586
32.64	3698.539
32.66	3713.197
32.68	3716.033
32.7	3675.059
32.72	3706.544
32.74	3839.964
32.76	3691.399
32.78	3622.98
32.8	3573.668
32.82	3716.438
32.84	3656.063
32.86	3705.678
32.88	3672.98
32.9	3676.15
32.92	3729.29
32.94	3717.94
32.96	3688.857
32.98	3587.317
33	3540.678
33.02	3599.419
33.04	3631.248
33.06	3591.754
33.08	3527.647
33.1	3509.222
33.12	3535.927
33.14	3536.709
33.16	3588.205
33.18	3553.113
33.2	3546.939
33.22	3534.035
33.24	3583.618
33.26	3630.69
33.28	3560.068
33.3	3529.815
33.32	3605.829
33.34	3521.978
33.36	3601.912
33.38	3456.625
33.4	3468.861
33.42	3396
33.44	3474.188
33.46	3430.638
33.48	3593.453
33.5	3485.811
33.52	3499.973
33.54	3556.361
33.56	3503.443
33.58	3481.406
33.6	3507.554
33.62	3453.284
33.64	3516.777
33.66	3407.092
33.68	3366.645
33.7	3433.919
33.72	3430.188
33.74	3388.385
33.76	3561.315
33.78	3343.955
33.8	3316.772
33.82	3509.5
33.84	3418.183
33.86	3470.507
33.88	3342.939
33.9	3415.515
33.92	3312.299
33.94	3535.308
33.96	3335.629
33.98	3318.194
34	3311.542
34.02	3194.783
34.04	3399.733
34.06	3309.807
34.08	3358.61
34.1	3308.865
34.12	3343.745
34.14	3278.88
34.16	3334.467
34.18	3339.691
34.2	3299.453
34.22	3334.252
34.24	3461.956
34.26	3268.462
34.28	3368.891
34.3	3266.116
34.32	3373.685
34.34	3230.117
34.36	3264.436
34.38	3257.865
34.4	3206.352
34.42	3187.599
34.44	3252.382
34.46	3217.328
34.48	3321.854
34.5	3284.71
34.52	3226.767
34.54	3196.837
34.56	3251.98
34.58	3270.879
34.6	3223.792
34.62	3267.582
34.64	3188.793
34.66	3214.284
34.68	3228.122
34.7	3193.339
34.72	3262.833
34.74	3166.445
34.76	3204.524
34.78	3312.233
34.8	3314.587
34.82	3268.34
34.84	3272.584
34.86	3247.031
34.88	3180.841
34.9	3206.004
34.92	3113.562
34.94	3153.96
34.96	3066.928
34.98	3243.673
35	3013.259
35.02	3194.399
35.04	3242.87
35.06	3196.04
