TiNbZrCu_9	
2θ, °	Intensity, counts
37.08	2654.08
37.1	2693.212
37.12	2803.793
37.14	2650.729
37.16	2723.911
37.18	2718.788
37.2	2692.31
37.22	2794.946
37.24	2762.265
37.26	2839.417
37.28	2919.682
37.3	2909.286
37.32	2775.541
37.34	2957.731
37.36	2906.493
37.38	2936.992
37.4	3033.478
37.42	2928.388
37.44	2926.03
37.46	2933.243
37.48	2979.665
37.5	2937.389
37.52	3032.811
37.54	2993.838
37.56	2894.644
37.58	3054.343
37.6	2919.401
37.62	2952.084
37.64	2854.593
37.66	2899.671
37.68	2974.722
37.7	3082.278
37.72	2950.301
37.74	3011.137
37.76	3026.931
37.78	2962.512
37.8	3057.113
37.82	3033.579
37.84	3162.265
37.86	3074.315
37.88	3175.786
37.9	3234.294
37.92	3180.896
37.94	3192.494
37.96	3158.735
37.98	3153.225
38	3273.878
38.02	3297.427
38.04	3338.239
38.06	3379.555
38.08	3505.131
38.1	3401.31
38.12	3453.49
38.14	3571.752
38.16	3527.948
38.18	3578.215
38.2	3776.896
38.22	3848.091
38.24	3925.517
38.26	4080.007
38.28	4269.901
38.3	4209.058
38.32	4385.688
38.34	4666.251
38.36	4837.888
38.38	5333.646
38.4	5753.181
38.42	6452.152
38.44	7138.179
38.46	8118.482
38.48	9189.924
38.5	11173.83
38.52	14171.81
38.54	19537.69
38.56	28503.36
38.58	41243.98
38.6	54721.57
38.62	62892.81
38.64	60069.31
38.66	50602.71
38.68	42629.84
38.7	40220.22
38.72	37825.8
38.74	32994.26
38.76	24947.41
38.78	17216.4
38.8	12151.59
38.82	9103.1
38.84	7346.093
38.86	6377.964
38.88	5516.834
38.9	5130.351
38.92	4758.49
38.94	4667.446
38.96	4445.864
38.98	4188.558
39	4101.854
39.02	3990.271
39.04	3914.102
39.06	3796.024
39.08	3662.012
39.1	3621.59
39.12	3506.96
39.14	3396
39.16	3379.798
39.18	3423.011
39.2	3320.176
39.22	3331.079
39.24	3215.871
39.26	3093.777
39.28	3094.405
39.3	3069.3
39.32	3063.828
39.34	2970.716
39.36	3041.751
39.38	2912.25
39.4	2886.477
39.42	2860.186
39.44	2904.36
39.46	2812.385
39.48	2746.674
39.5	2776.129
39.52	2728.881
39.54	2783.261
