TiNbZrCu_11	
2θ, °	Intensity, counts
30	4421.169
30.02	4228.859
30.04	4232.644
30.06	4371.578
30.08	4281.883
30.1	4331.262
30.12	4372.039
30.14	4274.417
30.16	4273.543
30.18	4260.841
30.2	4348.436
30.22	4058.742
30.24	4062.712
30.26	4272.755
30.28	4180.896
30.3	4091.338
30.32	4245.885
30.34	4231.787
30.36	4161.014
30.38	4030.253
30.4	4075.504
30.42	4145.808
30.44	4226.316
30.46	4168.494
30.48	4151.656
30.5	4100.324
30.52	4228.345
30.54	4004.588
30.56	4105.29
30.58	4079.427
30.6	4081.726
30.62	4175.366
30.64	4120.467
30.66	4093.504
30.68	4060.849
30.7	4069.079
30.72	4068.534
30.74	4172.146
30.76	4143.121
30.78	3995.885
30.8	3955.653
30.82	4129.97
30.84	4012.917
30.86	4053.879
30.88	4131.239
30.9	4008.698
30.92	4127.616
30.94	4118.349
30.96	3972.91
30.98	4115.801
31	3849.106
31.02	3989.703
31.04	4091.635
31.06	4152.019
31.08	3994.043
31.1	4045.571
31.12	4018.168
31.14	3913.154
31.16	4117.043
31.18	3977.484
31.2	4023.549
31.22	4227.558
31.24	4192.686
31.26	4139.16
31.28	4197.105
31.3	4147.619
31.32	4172.236
31.34	4124.855
31.36	4296.01
31.38	4206.584
31.4	4246.452
31.42	4207.998
31.44	4071.077
31.46	4211.404
31.48	4066.342
31.5	4054.539
31.52	4101.007
31.54	4021.773
31.56	3981.583
31.58	4003.244
31.6	4028.475
31.62	3863.082
31.64	4020.273
31.66	3937.925
31.68	3921.221
31.7	3959.276
31.72	3913.51
31.74	3739.189
31.76	3744.045
31.78	3753.302
31.8	3820.971
31.82	3762.922
31.84	3820.286
31.86	3684.697
31.88	3695.914
31.9	3784.292
31.92	3716.582
31.94	3666.959
31.96	3680.469
31.98	3839.27
32	3761.34
32.02	3689.963
32.04	3715.532
32.06	3650.858
32.08	3703.426
32.1	3639.079
32.12	3634.619
32.14	3581.313
32.16	3638.93
32.18	3662.574
32.2	3574.575
32.22	3591.454
32.24	3678.689
32.26	3700.12
32.28	3586.562
32.3	3564.808
32.32	3667.732
32.34	3585.859
32.36	3701.664
32.38	3628.317
32.4	3604.151
32.42	3620.801
32.44	3477.905
32.46	3538.641
32.48	3602.39
32.5	3497.159
32.52	3618.292
32.54	3520.727
32.56	3586.215
32.58	3548.128
32.6	3617.799
32.62	3410.666
32.64	3496.973
32.66	3495.549
32.68	3502.063
32.7	3510.165
32.72	3549.282
32.74	3500.95
32.76	3523.053
32.78	3459.551
32.8	3466.833
32.82	3497.515
32.84	3393.116
