'Id: "" Comment: "" Operator: "administrator" Anode: "Cu" Scantype: "locked coupled" TimePerStep: "113.4" 
30	4600.826
30.02	4709.478
30.04	4740.911
30.06	4511.834
30.08	4615.581
30.1	4474.132
30.12	4499.202
30.14	4626.689
30.16	4470.694
30.18	4635.147
30.2	4655.045
30.22	4613.236
30.24	4476.489
30.26	4527.112
30.28	4661.369
30.3	4587.185
30.32	4576.987
30.34	4663.261
30.36	4535.823
30.38	4488.049
30.4	4363.474
30.42	4457.354
30.44	4669.381
30.46	4567.813
30.48	4430.683
30.5	4319.562
30.52	4380.332
30.54	4325.92
30.56	4435.924
30.58	4454.824
30.6	4347.008
30.62	4445.599
30.64	4291.124
30.66	4334.556
30.68	4403.272
30.7	4380.298
30.72	4340.302
30.74	4389.402
30.76	4379.954
30.78	4306.848
30.8	4278.884
30.82	4197.509
30.84	4320.69
30.86	4423.397
30.88	4284.077
30.9	4362.162
30.92	4270.569
30.94	4355.143
30.96	4303.836
30.98	4141.556
31	4195.856
31.02	4213.19
31.04	4386.889
31.06	4223.464
31.08	4339.796
31.1	4265.458
31.12	4310.578
31.14	4255.601
31.16	4142.275
31.18	4196.57
31.2	4257.707
31.22	4268.743
31.24	4231.531
31.26	4117.722
31.28	4178.133
31.3	4247.319
31.32	4205.234
31.34	4161.865
31.36	4202.464
31.38	4119.654
31.4	4059.846
31.42	4254.791
31.44	4284.075
31.46	3972.062
31.48	4197.696
31.5	4175.724
31.52	4134.268
31.54	4101.566
31.56	4137.32
31.58	4013.497
31.6	4079.592
31.62	4143.833
31.64	3980.635
31.66	3997.316
31.68	4084.818
31.7	4079.83
31.72	4029.426
31.74	4145.594
31.76	4018.155
31.78	3924.556
31.8	4072.369
31.82	4034.56
31.84	4039.886
31.86	4012.856
31.88	3959.017
31.9	4021.326
31.92	4043.72
31.94	3984.367
31.96	3963.95
31.98	4102.574
32	3894.367
32.02	4096.173
32.04	3815.131
32.06	3874.682
32.08	4029.708
32.1	3981.845
32.12	3945.754
32.14	3823.152
32.16	3923.357
32.18	3921.594
32.2	4032.233
32.22	3978.832
32.24	3945.448
32.26	3904.329
32.28	3840.792
32.3	3915.294
32.32	3888.44
32.34	3784.952
32.36	3819.375
32.38	3850.139
32.4	3720.772
32.42	3882.464
32.44	3705.732
32.46	3710.202
32.48	3788.972
32.5	3780.756
32.52	3740.059
32.54	3851.368
32.56	3957.2
32.58	3891.775
32.6	3783.13
32.62	3781.677
32.64	3828.751
32.66	3723.596
32.68	3802.637
32.7	3676.88
32.72	3623.475
32.74	3715.392
32.76	3750.141
32.78	3792.844
32.8	3746.006
32.82	3714.109
32.84	3791.106
32.86	3730.478
32.88	3740.615
32.9	3535.227
32.92	3707.196
32.94	3665.749
32.96	3640.192
32.98	3647.237
33	3632.096
33.02	3636.564
33.04	3553.248
33.06	3620.739
33.08	3640.691
33.1	3650.965
33.12	3549.263
33.14	3587.059
33.16	3733.306
33.18	3519.037
33.2	3613
33.22	3404.599
33.24	3704.441
33.26	3453.605
33.28	3571.38
33.3	3626.434
33.32	3576.526
33.34	3571.36
33.36	3481.55
33.38	3408.385
33.4	3539.426
33.42	3574.241
33.44	3584.232
33.46	3476.376
33.48	3482.209
33.5	3566.64
33.52	3490.751
33.54	3428.903
33.56	3534.476
33.58	3536.207
33.6	3425.198
33.62	3470.418
33.64	3494.347
33.66	3399.186
33.68	3545.969
33.7	3455.967
33.72	3428.21
33.74	3414.365
33.76	3478.189
33.78	3464.405
33.8	3425.998
33.82	3457.131
33.84	3461.553
33.86	3431.142
33.88	3465.842
33.9	3401.444
33.92	3434.844
33.94	3436.617
33.96	3428.628
33.98	3327.772
34	3344.016
34.02	3386.454
34.04	3269.323
34.06	3363.153
34.08	3309.839
34.1	3404.866
34.12	3255.498
34.14	3281.812
34.16	3187.686
34.18	3311.311
34.2	3300.794
34.22	3326.785
34.24	3284.438
34.26	3351.248
34.28	3379.786
34.3	3271.216
34.32	3368.702
